TowID,Program,Year,Subregion,LatitudeStart,LongitudeStart,Date,TimeStartUTC,DayNight,TowDepth,Euphausia crystallorophias,Euphausia superba,Thysanoessa macrura,Themisto gaudichaudii,Salpa thompsoni,Limacina rangii,Gymnosomata
LTER_20003,LTER,1994,500,-65.47398333,-66.12836667,1/12/94,10:12:00,Day,110,0.05429413,0.02714712,927.9417572,0,0,0,0.02714712
LTER_20006,LTER,1994,500,-65.3626,-66.45205,1/12/94,22:39:00,Day,135,0,4.081678695,18.4284747,0,0.5178249,0.03046032,0.182761785
LTER_20009,LTER,1994,500,-65.24145,-66.78561667,1/13/94,10:20:00,Day,140,0,0.0614439,38.37173578,0,18.70967742,2.27342556,0.12288794
LTER_20012,LTER,1994,500,-65.11785,-67.10851667,1/13/94,18:48:00,Day,120,0,0.18927444,830.0105153,0,0.16824396,0.98843328,0.02103048
LTER_20013,LTER,1994,500,-64.9909,-67.40155,1/14/94,9:18:00,Day,120,0,0.08689356,0.69514848,0,1.1585808,8.25488772,0.02896452
LTER_20017,LTER,1994,500,-64.73498333,-67.98998333,1/14/94,18:22:00,Day,115,0,3.23236733,8.492492975,0,0.501920375,0.72276534,0.060230445
LTER_20019,LTER,1994,500,-64.61123333,-68.27043333,1/14/94,21:30:00,Day,125,0,3.28634025,92.9700895,0.1905125,0,2.024195125,0.023814125
LTER_20020,LTER,1994,600,-63.96435,-66.84023333,1/15/94,9:20:00,Day,140,0,0.06944448,1.66666668,1.31944442,10.76388894,0.5902778,0.03472224
LTER_20023,LTER,1994,600,-64.0853,-66.54191667,1/15/94,15:17:00,Day,140,0,1.21091152,181.6367266,1.58349968,2.6702151,2.63916618,0.09314704
LTER_20028,LTER,1994,600,-64.44645,-65.6348,1/16/94,14:18:00,Day,130,0,0.25909312,11.07623322,1.79206118,9.84554064,3.2170736,0.06477328
